title,rating,votes,year,genres,imdbLink
Exemplary Behavior,7.8,28,2019,Documentary,"<a href=""http://www.imdb.com/title/tt9792010/"">Link</a>"
Exile,6.3,293,2020,Drama,"<a href=""http://www.imdb.com/title/tt8955708/"">Link</a>"
Falling,6.1,819,2020,Drama,"<a href=""http://www.imdb.com/title/tt9143112/"">Link</a>"
Fan Girl,4.7,564,2015,Comedy;Family;Music,"<a href=""http://www.imdb.com/title/tt4146132/"">Link</a>"
Fear,6.3,40743,1996,Drama;Thriller,"<a href=""http://www.imdb.com/title/tt0116287/"">Link</a>"
February,5.9,18449,2015,Horror;Mystery;Thriller,"<a href=""http://www.imdb.com/title/tt3286052/"">Link</a>"
Final Report,6.0,139,2020,Drama,"<a href=""http://www.imdb.com/title/tt9701934/"">Link</a>"
Flashwood,5.2,47,2020,Drama,"<a href=""http://www.imdb.com/title/tt11843950/"">Link</a>"
Follow The Yellow Brick Road,,,1991,,"<a href=""http://www.imdb.com/title/tt1629958/"">Link</a>"
Forgotten Roads,7.4,16,2020,Drama;Romance,"<a href=""http://www.imdb.com/title/tt12888166/"">Link</a>"
Fugitive Dreams,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt7551844/"">Link</a>"
Georgica,6.8,241,1998,Drama,"<a href=""http://www.imdb.com/title/tt0168819/"">Link</a>"
Glassboy,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt12188452/"">Link</a>"
Goodbye Soviet Union,7.2,67,2020,Comedy,"<a href=""http://www.imdb.com/title/tt9471988/"">Link</a>"
Gorbachev. Heaven,,,2020,Documentary,"<a href=""http://www.imdb.com/title/tt13400440/"">Link</a>"
Gracious Night,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt13328460/"">Link</a>"
Great Happiness,,,2019,Drama,"<a href=""http://www.imdb.com/title/tt8784830/"">Link</a>"
Havel,6.6,136,2020,Biography;Drama;History,"<a href=""http://www.imdb.com/title/tt9471930/"">Link</a>"
Heroes,7.5,227224,2006,Drama;Fantasy;Sci-Fi;Thriller,"<a href=""http://www.imdb.com/title/tt0813715/"">Link</a>"
Holler,6.6,29,2020,Drama,"<a href=""http://www.imdb.com/title/tt6763778/"">Link</a>"
Holy Father,9.2,45,2020,Documentary,"<a href=""http://www.imdb.com/title/tt12833692/"">Link</a>"
Home,6.6,91003,2015,Animation;Adventure;Comedy;Family;Fantasy;Sci-Fi,"<a href=""http://www.imdb.com/title/tt2224026/"">Link</a>"
Honeymood,6.7,30,2020,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt11905730/"">Link</a>"
Hunted,7.4,8585,2012,Action;Drama,"<a href=""http://www.imdb.com/title/tt2069449/"">Link</a>"
Hunting in the North,,,1961,Short;Documentary,"<a href=""http://www.imdb.com/title/tt0225231/"">Link</a>"
I Am Greta,5.7,3080,2020,Documentary;Biography,"<a href=""http://www.imdb.com/title/tt10394738/"">Link</a>"
In the Dusk,6.3,53,2019,Drama,"<a href=""http://www.imdb.com/title/tt9799640/"">Link</a>"
In the Line of Fire,7.2,91347,1993,Action;Crime;Drama;Thriller,"<a href=""http://www.imdb.com/title/tt0107206/"">Link</a>"
In the Mirror,,,2020,Fantasy,"<a href=""http://www.imdb.com/title/tt10590568/"">Link</a>"
Intervention,7.9,2423,2005,Documentary;Drama,"<a href=""http://www.imdb.com/title/tt0450920/"">Link</a>"
Jackie and Oopjen,7.7,18,2020,Comedy;Family,"<a href=""http://www.imdb.com/title/tt11816000/"">Link</a>"
Josep,7.5,223,2020,Animation;Biography;Drama,"<a href=""http://www.imdb.com/title/tt10534996/"">Link</a>"
Jumbo,6.1,483,2020,Drama;Fantasy,"<a href=""http://www.imdb.com/title/tt6818118/"">Link</a>"
Karnawal,5.0,9,2020,Drama,"<a href=""http://www.imdb.com/title/tt12121760/"">Link</a>"
Kindred,4.5,247,2020,Drama;Horror;Mystery;Thriller,"<a href=""http://www.imdb.com/title/tt9742392/"">Link</a>"
Kokoloko,6.3,9,2020,Drama;Thriller,"<a href=""http://www.imdb.com/title/tt11905394/"">Link</a>"
Kratt,,,2020,Comedy;Fantasy,"<a href=""http://www.imdb.com/title/tt11690220/"">Link</a>"
Labyrinth of Peace,,,2020,History,"<a href=""http://www.imdb.com/title/tt10639680/"">Link</a>"
Late Night Comedy,,,,Comedy,"<a href=""http://www.imdb.com/title/tt6962084/"">Link</a>"
Late Night Love,,,2016,Short;Comedy;Thriller,"<a href=""http://www.imdb.com/title/tt6119490/"">Link</a>"
Latvian Coyote,7.6,28,2019,Documentary,"<a href=""http://www.imdb.com/title/tt11448636/"">Link</a>"
Let Me Fall,8.0,711,2018,Biography;Crime;Drama,"<a href=""http://www.imdb.com/title/tt7358598/"">Link</a>"
Life Is Just A Ride,,,2020,Documentary,"<a href=""http://www.imdb.com/title/tt13270220/"">Link</a>"
Lola,7.6,187060,1998,Crime;Drama;Thriller,"<a href=""http://www.imdb.com/title/tt0130827/"">Link</a>"
Longing Souls,,,2002,Documentary,"<a href=""http://www.imdb.com/title/tt0827201/"">Link</a>"
Love Song 1980,9.4,10,2020,Drama,"<a href=""http://www.imdb.com/title/tt10097470/"">Link</a>"
Made in Corona: Inside Stories,0,0,0,,
Madison - A Fast Friendship,,,2020,Adventure;Drama;Family;Sport,"<a href=""http://www.imdb.com/title/tt10397306/"">Link</a>"
Madly in Life,6.8,13,2020,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt13194566/"">Link</a>"
Madness,5.6,409,1980,Action;Crime;Drama;Thriller,"<a href=""http://www.imdb.com/title/tt0080075/"">Link</a>"
Magnesium,6.1,16,2020,Crime;Western,"<a href=""http://www.imdb.com/title/tt10792570/"">Link</a>"
Masha,,,2020,,"<a href=""http://www.imdb.com/title/tt11892302/"">Link</a>"
Max and The Wild Bunch,7.2,79,2014,Animation;Short;Action;Family;Fantasy,"<a href=""http://www.imdb.com/title/tt3696774/"">Link</a>"
Mephistopheles,8.1,29,1989,Drama;Fantasy;Musical,"<a href=""http://www.imdb.com/title/tt0097859/"">Link</a>"
Model Olimpia,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt11775972/"">Link</a>"
Mosquito State,5.4,106,2020,Drama,"<a href=""http://www.imdb.com/title/tt12789540/"">Link</a>"
My Favorite War,8.1,80,2020,Documentary;Animation,"<a href=""http://www.imdb.com/title/tt12354896/"">Link</a>"
My Heart Goes Boom,,,2014,Short;Music,"<a href=""http://www.imdb.com/title/tt12884284/"">Link</a>"
My life as a Comedian,6.5,529,2019,Biography;Drama,"<a href=""http://www.imdb.com/title/tt8425516/"">Link</a>"
NEXT Generation Short Tiger,0,0,0,,
Needle Park Baby,7.4,283,2020,Drama,"<a href=""http://www.imdb.com/title/tt9737798/"">Link</a>"
Nest of Winds,,,2009,Short;Drama,"<a href=""http://www.imdb.com/title/tt6048010/"">Link</a>"
Nomadland,7.8,1053,2020,Drama,"<a href=""http://www.imdb.com/title/tt9770150/"">Link</a>"
Oasis,8.1,5085,2017,Drama;Sci-Fi,"<a href=""http://www.imdb.com/title/tt6268052/"">Link</a>"
On the Water,,,2020,Short;Crime;Mystery;Thriller,"<a href=""http://www.imdb.com/title/tt11398726/"">Link</a>"
One For All,5.9,109,2020,Drama,"<a href=""http://www.imdb.com/title/tt9717498/"">Link</a>"
One Man and His Shoes,6.0,109,2020,Documentary;Sport,"<a href=""http://www.imdb.com/title/tt11532922/"">Link</a>"
Papier-mache,,,2013,Short;Comedy;Fantasy;Romance,"<a href=""http://www.imdb.com/title/tt3391878/"">Link</a>"
Parquet,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt9699628/"">Link</a>"
Pelle No-Tail,,,1970,Comedy;Crime;Mystery,"<a href=""http://www.imdb.com/title/tt1693312/"">Link</a>"
Pirates Down The Street,6.7,102,2020,Family,"<a href=""http://www.imdb.com/title/tt10727214/"">Link</a>"
Poppy Field,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt11768008/"">Link</a>"
Promise of Pisa,6.7,454,2019,Drama;Music;Romance,"<a href=""http://www.imdb.com/title/tt8974368/"">Link</a>"
Psycho,8.5,595752,1960,Horror;Mystery;Thriller,"<a href=""http://www.imdb.com/title/tt0054215/"">Link</a>"
Queer 1: Masc for Masc,0,0,0,,
Queer 2: Femme Like You,0,0,0,,
Raggie,6.3,57,2020,Animation,"<a href=""http://www.imdb.com/title/tt11462296/"">Link</a>"
Rain,,,,Action;Thriller,"<a href=""http://www.imdb.com/title/tt3969420/"">Link</a>"
Rebels With Their Shorts I,0,0,0,,
Rebels With Their Shorts II,0,0,0,,
Remy and Juliyat,9.2,6,2019,Drama,"<a href=""http://www.imdb.com/title/tt9717124/"">Link</a>"
Rivale,7.6,10,2020,Drama,"<a href=""http://www.imdb.com/title/tt8897388/"">Link</a>"
Russian Death,8.8,128,2019,Documentary;Horror,"<a href=""http://www.imdb.com/title/tt10544422/"">Link</a>"
Sanremo,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt11114992/"">Link</a>"
Sententia,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt12077076/"">Link</a>"
Servants,6.1,293,2020,Drama,"<a href=""http://www.imdb.com/title/tt8462814/"">Link</a>"
Sherlock: The Russian Chronicles,4.8,18,2020,Crime;Drama;Mystery,"<a href=""http://www.imdb.com/title/tt11105888/"">Link</a>"
Shorta,7.4,463,2020,Action;Crime,"<a href=""http://www.imdb.com/title/tt11081050/"">Link</a>"
Shorts Animation Competition 1,0,0,0,,
Shorts Animation Competition 2,0,0,0,,
Shorts Animation Competition 3,0,0,0,,
Shorts Animation Competition 4,0,0,0,,
Shorts Animation Competition 5,0,0,0,,
Shorts Kids Animation Competition 1,0,0,0,,
Shorts Kids Animation Competition 2,0,0,0,,
Shorts Live-Action Competition 1,0,0,0,,
Shorts Live-Action Competition 2,0,0,0,,
Shorts Live-Action Competition 3,0,0,0,,
Shorts Live-Action Competition 4,0,0,0,,
Shorts Live-Action Competition 5,0,0,0,,
Shorts National Competition 1,0,0,0,,
Shorts National Competition 2,0,0,0,,
Shorts National Competition 3,0,0,0,,
Shorts National Competition 4,0,0,0,,
Shorts New Talents Competition: Animation 1,0,0,0,,
Shorts New Talents Competition: Animation 2,0,0,0,,
Shorts New Talents Competition: Live-action 1,0,0,0,,
