title,rating,votes,year,genres,imdbLink
101 Estonian Films: Animation,0.0,0,0,,
25 Years of Innocence. The Case of Tomek Komenda,0.0,0,0,,
50 or Two Whales Meet on the Beach,7.9,9,2020,Drama,"<a href=""http://www.imdb.com/title/tt12211524/"">Link</a>"
A Distant Place,5.7,37,2010,Drama;Romance,"<a href=""http://www.imdb.com/title/tt1267494/"">Link</a>"
A Man Who Never Was,7.4,4440,1956,War;Drama,"<a href=""http://www.imdb.com/title/tt0049471/"">Link</a>"
A Yellow Animal,6.1,106,2020,Drama,"<a href=""http://www.imdb.com/title/tt7811018/"">Link</a>"
Abulele,5.9,251,2015,Animation;Adventure;Family,"<a href=""http://www.imdb.com/title/tt4937208/"">Link</a>"
Ammonite,6.6,630,2020,Biography;Drama;Romance,"<a href=""http://www.imdb.com/title/tt7983894/"">Link</a>"
An Ordinary Woman 2,7.3,306,2018,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt8561620/"">Link</a>"
And Tomorrow the Entire World,6.0,242,2020,Crime;Drama;Romance,"<a href=""http://www.imdb.com/title/tt7716120/"">Link</a>"
